01 Año,02 Mes,04 Id Cargo,03 Orden,05 Puesto,06 Id,07 Valor,08 KPI,09 Resultado,10 Objetivo,11 Valor Real,12 Calificacion,13 Tendencia,14 Parametros,15 Suma Valor,16 Suma Calificacion,17 Calificacion General
2026,1,100,6,DIRECCIÓN MBC,1006,,SUSSESION PLAN ( PLAN DE SUCESIÓN PARA GERENTES ),NA , , ,,0,,70,67,95.7 %
2026,1,100,4,DIRECCIÓN MBC,1004,10,FLUJO DE EFECTIVO,145.7 % ,80 % ,145.7 % ,10,1,Mayor al 80 %,70,67,95.7 %
2026,1,100,1,DIRECCIÓN MBC,1001,10,VENTAS NETAS,"$ 129,362,601 ","$ 123,827,638 ",104.5 % ,10,1,Mayor al 70 %,70,67,95.7 %
2026,1,100,2,DIRECCIÓN MBC,1002,36,UTILIDADES DE OPERACIÓN,"$ 31,030,163 ","$ 27,683,807 ",112.1 % ,36,1,Mayor al 70 %,70,67,95.7 %
2026,1,100,11,DIRECCIÓN MBC,1011,5,PROCESOS ( MAPEO DE PROCESOS ),100 % ,80 % ,100 % ,5,1,Mayor al 80 %,70,67,95.7 %
2026,1,100,8,DIRECCIÓN MBC,1008,,TALEN REVIEW JEFATURAS ( INICIO DE PLAN ),NA , , ,,0,,70,67,95.7 %
2026,1,100,3,DIRECCIÓN MBC,1003,,UTILIDADES DE OPERACIÓN CORPORATIVA,NA , , ,,0,,70,67,95.7 %
2026,1,100,10,DIRECCIÓN MBC,1010,3,INVERSIONES ( EFICIENCIA OPERATIVA TESEO ),33.7 % ,75 % ,33.7 % ,0,5,Mayor al 75 %,70,67,95.7 %
2026,1,100,5,DIRECCIÓN MBC,1005,,GPTW,NA , , ,,0,,70,67,95.7 %
2026,1,100,9,DIRECCIÓN MBC,1009,6,VENTAS DEPARTAMENTALES,"$ 3,524,745 ","$ 1,984,273 ",177.6 % ,6,1,Mayor al  %,70,67,95.7 %
2026,1,100,12,DIRECCIÓN MBC,1012,,DYNAMICS ( ERP MBC ),NA , , ,,0,,70,67,95.7 %
2026,1,100,7,DIRECCIÓN MBC,1007,,TALEN REVIEW GERENCIAS ( PLAN DE DESARROLLO  ),NA , , ,,0,,70,67,95.7 %
2026,1,200,2,GERENCIA ADMINISTRATIVA,1002,10,UTILIDADES DE OPERACIÓN,"$ 31,030,163 ","$ 27,683,807 ",112.1 % ,10,1,Mayor al 70 %,67,61.2,91.3 %
2026,1,200,12,GERENCIA ADMINISTRATIVA,1011,4,PROCESOS ( MAPEO DE PROCESOS ),100 % ,80 % ,100 % ,4,1,Mayor al 80 %,67,61.2,91.3 %
2026,1,200,11,GERENCIA ADMINISTRATIVA,1008,,TALEN REVIEW JEFATURAS ( INICIO DE PLAN ),NA , , ,,0,,67,61.2,91.3 %
2026,1,200,13,GERENCIA ADMINISTRATIVA,1012,,DYNAMICS ( ERP MBC ),NA , , ,,0,,67,61.2,91.3 %
2026,1,200,7,GERENCIA ADMINISTRATIVA,2004,4,CUENTAS POR COBRAR,57.1 dias ,60 dias ,95.2 % ,4,2,Menor al 130 %,67,61.2,91.3 %
2026,1,200,10,GERENCIA ADMINISTRATIVA,1007,,TALEN REVIEW GERENCIAS ( PLAN DE DESARROLLO  ),NA , , ,,0,,67,61.2,91.3 %
2026,1,200,15,GERENCIA ADMINISTRATIVA,102 b,8,"AUDITORIAS DE 5'S EN LAS ÁREAS DE ADMINISTRACION",93.5 % ,95 % ,90 % ,7.2,3,95 %  -  100 %<BR>90 %  -  90 %<BR>85 %  -  80 %,67,61.2,91.3 %
2026,1,200,4,GERENCIA ADMINISTRATIVA,2001,8,GASTOS DE ADMINISTRACIÓN,"$ 3,226,406 ","$ 3,603,760 ",89.5 % ,8,2,Menor al 130 %,67,61.2,91.3 %
2026,1,200,8,GERENCIA ADMINISTRATIVA,2005,4,CUENTAS POR PAGAR,32.3 dias ,40 dias ,80.7 % ,4,2,Menor al 130 %,67,61.2,91.3 %
2026,1,200,6,GERENCIA ADMINISTRATIVA,2003,5,GASTOS DE VENTA  ( GASTOS FIJOS QUE NO DEPENDEN DE LA VENTA ),"$ 2,902,465 ","$ 2,067,922 ",140.4 % ,0,4,Menor al 130 %,67,61.2,91.3 %
2026,1,200,16,GERENCIA ADMINISTRATIVA,103 f,3,ROTACIÓN DE PERSONAL ADMINISTRATIVO,2.5 % ,3 % ,100 % ,3,2,3 %  -  100 %<BR>3.5 %  -  90 %<BR>4 %  -  80 %,67,61.2,91.3 %
2026,1,200,14,GERENCIA ADMINISTRATIVA,101 c,,AUDITORIAS INTERNAS ADMINISTRATIVAS,NA , , ,,0,,67,61.2,91.3 %
2026,1,200,3,GERENCIA ADMINISTRATIVA,1004,8,FLUJO DE EFECTIVO,145.7 % ,80 % ,145.7 % ,8,1,Mayor al 80 %,67,61.2,91.3 %
2026,1,200,5,GERENCIA ADMINISTRATIVA,2002,8,GASTOS DE CENTRO DE SERVICIOS,"$ 1,243,417 ","$ 1,238,276 ",100.4 % ,8,3,Menor al 130 %,67,61.2,91.3 %
2026,1,200,1,GERENCIA ADMINISTRATIVA,1001,5,VENTAS NETAS,"$ 129,362,601 ","$ 123,827,638 ",104.5 % ,5,1,Mayor al 70 %,67,61.2,91.3 %
2026,1,200,17,GERENCIA ADMINISTRATIVA,1005,,GPTW,NA , , ,,0,,67,61.2,91.3 %
2026,1,200,9,GERENCIA ADMINISTRATIVA,1006,,SUSSESION PLAN ( PLAN DE SUCESIÓN PARA GERENTES ),NA , , ,,0,,67,61.2,91.3 %
2026,1,1,13,MBC,1011,4,PROCESOS ( MAPEO DE PROCESOS ),100 % ,80 % ,100 % ,4,1,Mayor al 80 %,70,61.4,87.7 %
2026,1,1,15,MBC,102 a,3,"AUDITORIAS DE 5'S ( MBC )",90.5 % ,95 % ,90 % ,2.7,3,95 %  -  100 %<BR>90 %  -  90 %<BR>85 %  -  80 %,70,61.4,87.7 %
2026,1,1,10,MBC,3009,3,BAJAS DE CALIDAD ( DEVOLUCIONES MAS BAJAS ),2.2 % ,0.5 % ,0 % ,0,4,0.5 %  -  100 %<BR>1 %  -  85 %<BR>1.5 %  -  70 %,70,61.4,87.7 %
2026,1,1,3,MBC,1003,,UTILIDADES DE OPERACIÓN CORPORATIVA,NA , , ,,0,,70,61.4,87.7 %
2026,1,1,17,MBC,1005,,GPTW,NA , , ,,0,,70,61.4,87.7 %
2026,1,1,1,MBC,1001,10,VENTAS NETAS,"$ 129,362,601 ","$ 123,827,638 ",104.5 % ,10,1,Mayor al 70 %,70,61.4,87.7 %
2026,1,1,12,MBC,1007,,TALEN REVIEW GERENCIAS ( PLAN DE DESARROLLO  ),NA , , ,,0,,70,61.4,87.7 %
2026,1,1,14,MBC,101,,AUDITORIAS INTERNAS ( MBC ),NA , , ,,0,,70,61.4,87.7 %
2026,1,1,7,MBC,105,4,ENTREGAS A TIEMPO  |  TIENDAS CUADRA & CORRAL,76.1 | 99.2 ,95 % ,0 | 100 ,2,3,95 %  -  100 %<BR>90 %  -  80 %<BR>85 %  -  60 %,70,61.4,87.7 %
2026,1,1,4,MBC,104,3,DÍAS DE WIP  |  BOTAS & ACCESORIOS,12.1 | 6.1 ,12 | 7 ,80 | 100 ,2.7,3,12 | 7  -  100 %<BR>13 | 8  -  80 %<BR>14 | 9  -  60 %,70,61.4,87.7 %
2026,1,1,11,MBC,1006,,SUSSESION PLAN ( PLAN DE SUCESIÓN PARA GERENTES ),NA , , ,,0,,70,61.4,87.7 %
2026,1,1,16,MBC,103 a,3,ROTACIÓN DE PERSONAL MBC,6.1 % ,3 % ,0 % ,0,4,3 %  -  100 %<BR>3.5 %  -  90 %<BR>4 %  -  80 %,70,61.4,87.7 %
2026,1,1,2,MBC,1002,40,UTILIDADES DE OPERACIÓN,"$ 31,030,163 ","$ 27,683,807 ",112.1 % ,40,1,Mayor al 70 %,70,61.4,87.7 %
2026,1,300,17,GERENCIA OPERATIVA,1012,,DYNAMICS ( ERP MBC ),NA , , ,,0,,70,53.2,76 %
2026,1,300,8,GERENCIA OPERATIVA,3006,6,DÍAS DE WIP  |  BOTAS Y ACCESORIOS,12.1 | 6.1 ,12 | 7 ,80 | 100 ,5.4,3,12 | 7  -  100 %<BR>13 | 8  -  80 %<BR>14 | 9  -  60 %,70,53.2,76 %
2026,1,300,3,GERENCIA OPERATIVA,3001,7,PRODUCTIVIDAD DE BOTAS,"21,324 prs ","21,600 prs ",98.7 % ,6.9,3,Mayor al 70 %,70,53.2,76 %
2026,1,300,1,GERENCIA OPERATIVA,1001,5,VENTAS NETAS,"$ 129,362,601 ","$ 123,827,638 ",104.5 % ,5,1,Mayor al 70 %,70,53.2,76 %
2026,1,300,7,GERENCIA OPERATIVA,3005,3,PRODUCTIVIDAD DE BOLSAS,"3,300 pzs ","3,240 pzs ",101.9 % ,3,1,Mayor al 70 %,70,53.2,76 %
2026,1,300,13,GERENCIA OPERATIVA,1007,,TALEN REVIEW GERENCIAS ( PLAN DE DESARROLLO  ),NA , , ,,0,,70,53.2,76 %
2026,1,300,18,GERENCIA OPERATIVA,101 d,,AUDITORIAS INTERNAS OPERATIVAS,NA , , ,,0,,70,53.2,76 %
2026,1,300,12,GERENCIA OPERATIVA,1006,,SUSSESION PLAN ( PLAN DE SUCESIÓN PARA GERENTES ),NA , , ,,0,,70,53.2,76 %
2026,1,300,15,GERENCIA OPERATIVA,1010,5,INVERSIONES ( EFICIENCIA OPERATIVA TESEO ),33.7 % ,75 % ,33.7 % ,0,5,Mayor al 75 %,70,53.2,76 %
2026,1,300,19,GERENCIA OPERATIVA,102 c,5,"AUDITORIAS DE 5'S EN LAS ÁREAS DE OPERACIONES",91.3 % ,95 % ,90 % ,4.5,3,95 %  -  100 %<BR>90 %  -  90 %<BR>85 %  -  80 %,70,53.2,76 %
2026,1,300,5,GERENCIA OPERATIVA,3003,3,PRODUCTIVIDAD DE BILLETERAS,"5,466 pzs ","5,760 pzs ",94.9 % ,2.8,3,Mayor al 70 %,70,53.2,76 %
2026,1,300,2,GERENCIA OPERATIVA,1002,5,UTILIDADES DE OPERACIÓN,"$ 31,030,163 ","$ 27,683,807 ",112.1 % ,5,1,Mayor al 70 %,70,53.2,76 %
2026,1,300,11,GERENCIA OPERATIVA,3009,4,BAJAS DE CALIDAD ( DEVOLUCIONES MAS BAJAS ),2.2 % ,0.5 % ,0 % ,0,4,0.5 %  -  100 %<BR>1 %  -  85 %<BR>1.5 %  -  70 %,70,53.2,76 %
2026,1,300,20,GERENCIA OPERATIVA,103 e,4,ROTACIÓN DE PERSONAL OPERACIONES,6.4 % ,3 % ,0 % ,0,4,3 %  -  100 %<BR>3.5 %  -  90 %<BR>4 %  -  80 %,70,53.2,76 %
2026,1,300,4,GERENCIA OPERATIVA,3002,4,PRODUCTIVIDAD DE CINTOS,"13,087 pzs ","14,400 pzs ",90.9 % ,3.6,3,Mayor al 70 %,70,53.2,76 %
2026,1,300,21,GERENCIA OPERATIVA,1005,,GPTW,NA , , ,,0,,70,53.2,76 %
2026,1,300,10,GERENCIA OPERATIVA,3008,4,ENTREGAS A TIEMPO  |  TIENDAS CUADRA Y CORRAL,76.1 | 99.2 ,95 % ,0 | 100 ,2,3,95 %  -  100 %<BR>90 %  -  80 %<BR>85 %  -  60 %,70,53.2,76 %
2026,1,300,9,GERENCIA OPERATIVA,3007,7,COSTO DE VENTA,64 % ,65 % ,98.4 % ,7,2,Menor al 130 %,70,53.2,76 %
2026,1,300,6,GERENCIA OPERATIVA,3004,4,PRODUCTIVIDAD DE CHAMARRAS,"2,353 pzs ","2,340 pzs ",100.6 % ,4,1,Mayor al 70 %,70,53.2,76 %
2026,1,300,14,GERENCIA OPERATIVA,1008,,TALEN REVIEW JEFATURAS ( INICIO DE PLAN ),NA , , ,,0,,70,53.2,76 %
2026,1,300,16,GERENCIA OPERATIVA,1011,4,PROCESOS ( MAPEO DE PROCESOS ),100 % ,80 % ,100 % ,4,1,Mayor al 80 %,70,53.2,76 %
2026,1,104,10,JEFATURA DE LOGÍSTICA,102 i,5,"AUDITORIA DE 5'S EN EL ÁREA DE LOGÍSTICA",71 % ,100 % ,71 % ,3.5,3,Resultado Logrado,71,43.7,61.5 %
2026,1,104,3,JEFATURA DE LOGÍSTICA,1402,10,ROTACIÓN INVENTARIO MTS,0.2 vueltas ,0.8 vueltas ,28.8 % ,2.9,3,Resultado Logrado,71,43.7,61.5 %
2026,1,104,9,JEFATURA DE LOGÍSTICA,101 b,,AUDITORIAS INTERNAS DE LOGÍSTICA,NA , , ,,0,,71,43.7,61.5 %
2026,1,104,4,JEFATURA DE LOGÍSTICA,1403,8,DÍAS DE PISO NACIONAL,37.9 dias ,35 dias ,60 % ,4.8,3,35 dias  -  100 %<BR>37.5 dias  -  80 %<BR>40 dias  -  60 %,71,43.7,61.5 %
2026,1,104,11,JEFATURA DE LOGÍSTICA,103 d,5,ROTACIÓN DE PERSONAL DE ÁREAS OPERATIVAS,5.6 % ,3 % ,0 % ,0,4,3 %  -  100 %<BR>3.5 %  -  90 %<BR>4 %  -  80 %,71,43.7,61.5 %
2026,1,104,1,JEFATURA DE LOGÍSTICA,1001,25,VENTAS NETAS,"$ 129,362,601 ","$ 123,827,638 ",104.5 % ,25,1,Mayor al 70 %,71,43.7,61.5 %
2026,1,104,7,JEFATURA DE LOGÍSTICA,1404,5,SERVICIO DISTRIBUIDORES MX,79 % ,80 % ,79 % ,0,5,Mayor al 80 %,71,43.7,61.5 %
2026,1,104,12,JEFATURA DE LOGÍSTICA,1005,,GPTW,NA , , ,,0,,71,43.7,61.5 %
2026,1,104,2,JEFATURA DE LOGÍSTICA,1401,8,VENTAS POR LÍNEA,93.8 % ,80 % ,93.8 % ,7.5,3,Mayor al 80 %,71,43.7,61.5 %
2026,1,104,8,JEFATURA DE LOGÍSTICA,1405,5,SERVICIO MARKETPLACE,17 % ,80 % ,17 % ,0,5,Mayor al 80 %,71,43.7,61.5 %
2026,1,201,1,JEFATURA DE CONTABILIDAD,1002,5,UTILIDADES DE OPERACIÓN,"$ 31,030,163 ","$ 27,683,807 ",112.1 % ,5,1,Mayor al 70 %,85,80.9,95.2 %
2026,1,201,4,JEFATURA DE CONTABILIDAD,2005,5,CUENTAS POR PAGAR,32.3 dias ,40 dias ,80.7 % ,5,2,Menor al 130 %,85,80.9,95.2 %
2026,1,201,5,JEFATURA DE CONTABILIDAD,2101,15,EFECTIVIDAD EN EL CUMPLIMIENTO DE NOTAS DE CRÉDITO POR PRONTO PAGO,74 % ,70 % ,74 % ,11.1,3,Mayor al 70 %,85,80.9,95.2 %
2026,1,201,3,JEFATURA DE CONTABILIDAD,2004,5,CUENTAS POR COBRAR,57.1 dias ,60 dias ,95.2 % ,5,2,Menor al 130 %,85,80.9,95.2 %
2026,1,201,11,JEFATURA DE CONTABILIDAD,1005,,GPTW,NA , , ,,0,,85,80.9,95.2 %
2026,1,201,7,JEFATURA DE CONTABILIDAD,2103,20,PRESENTACIÓN DE IMPUESTOS,100 % ,100 % ,100 % ,20,1,Mayor al 100 %,85,80.9,95.2 %
2026,1,201,9,JEFATURA DE CONTABILIDAD,102 j,5,"AUDITORIA DE 5'S EN EL ÁREA DE ADMINISTRACIÓN",96.7 % ,100 % ,96.7 % ,4.8,3,Resultado Logrado,85,80.9,95.2 %
2026,1,201,2,JEFATURA DE CONTABILIDAD,1004,5,FLUJO DE EFECTIVO,145.7 % ,80 % ,145.7 % ,5,1,Mayor al 80 %,85,80.9,95.2 %
2026,1,201,8,JEFATURA DE CONTABILIDAD,101 c,,AUDITORIAS INTERNAS ADMINISTRATIVAS,NA , , ,,0,,85,80.9,95.2 %
2026,1,201,10,JEFATURA DE CONTABILIDAD,103 f,5,ROTACIÓN DE PERSONAL ADMINISTRATIVO,2.5 % ,3 % ,100 % ,5,2,3 %  -  100 %<BR>3.5 %  -  90 %<BR>4 %  -  80 %,85,80.9,95.2 %
2026,1,201,6,JEFATURA DE CONTABILIDAD,2102,20,ENTREGA DE CIERRE MENSUAL,100 % ,80 % ,100 % ,20,1,Mayor al 80 %,85,80.9,95.2 %
2026,1,102,2,JEFATURA DE CALIDAD,1201,30,"PORCENTAJE DE EFECTIVIDAD 'BIEN A LA PRIMERA'",88.9 % ,95 % ,70 % ,21,3,95 %  -  100 %<BR>90 %  -  80 %<BR>80 %  -  70 %,95,54.3,57.2 %
2026,1,102,3,JEFATURA DE CALIDAD,1202,20,CALIFICACIÓN REPETIBILIDAD & REPRODUCIBILIDAD <BR> ( UNIFICACIÓN DE CRITERIOS DE INSPECCIÓN ),96 % ,95 % ,100 % ,20,1,95 %  -  100 %<BR>85 %  -  85 %<BR>75 %  -  75 %,95,54.3,57.2 %
2026,1,102,5,JEFATURA DE CALIDAD,102 g,5,"AUDITORIA DE 5'S EN EL ÁREA DE CALIDAD",66.3 % ,100 % ,66.3 % ,3.3,3,Resultado Logrado,95,54.3,57.2 %
2026,1,102,1,JEFATURA DE CALIDAD,3009,25,BAJAS DE CALIDAD ( DEVOLUCIONES MAS BAJAS ),2.2 % ,0.5 % ,0 % ,0,4,0.5 %  -  100 %<BR>1 %  -  85 %<BR>1.5 %  -  70 %,95,54.3,57.2 %
2026,1,102,7,JEFATURA DE CALIDAD,1005,,GPTW,NA , , ,,0,,95,54.3,57.2 %
2026,1,102,6,JEFATURA DE CALIDAD,103 d,5,ROTACIÓN DE PERSONAL DE ÁREAS OPERATIVAS,5.6 % ,3 % ,0 % ,0,4,3 %  -  100 %<BR>3.5 %  -  90 %<BR>4 %  -  80 %,95,54.3,57.2 %
2026,1,102,4,JEFATURA DE CALIDAD,1203,10,PORCENTAJE DE EFECTIVIDAD EN <BR> LOS PUNTOS DE INSPECCIÓN DEL PRODUCTO,98 % ,95 % ,100 % ,10,1,95 %  -  100 %<BR>90 %  -  80 %<BR>80 %  -  70 %,95,54.3,57.2 %
2026,1,400,8,GERENCIA DE CAPITAL HUMANO,1005,,GPTW,NA , , ,,0,,30,5,16.7 %
2026,1,400,5,GERENCIA DE CAPITAL HUMANO,1011,5,PROCESOS ( MAPEO DE PROCESOS ),100 % ,80 % ,100 % ,5,1,Mayor al 80 %,30,5,16.7 %
2026,1,400,7,GERENCIA DE CAPITAL HUMANO,102 d,10,"AUDITORIAS DE 5'S EN LAS ÁREAS DE CAPITAL HUMANO",84.8 % ,95 % ,0 % ,0,5,95 %  -  100 %<BR>90 %  -  90 %<BR>85 %  -  80 %,30,5,16.7 %
2026,1,400,4,GERENCIA DE CAPITAL HUMANO,1008,,TALEN REVIEW JEFATURAS ( INICIO DE PLAN ),NA , , ,,0,,30,5,16.7 %
2026,1,400,1,GERENCIA DE CAPITAL HUMANO,103 a,15,ROTACIÓN DE PERSONAL MBC,6.1 % ,3 % ,0 % ,0,4,3 %  -  100 %<BR>3.5 %  -  90 %<BR>4 %  -  80 %,30,5,16.7 %
2026,1,400,6,GERENCIA DE CAPITAL HUMANO,101 e,,AUDITORIAS INTERNAS CAPITAL HUMANO,NA , , ,,0,,30,5,16.7 %
2026,1,400,2,GERENCIA DE CAPITAL HUMANO,1006,,SUSSESION PLAN ( PLAN DE SUCESIÓN PARA GERENTES ),NA , , ,,0,,30,5,16.7 %
2026,1,400,3,GERENCIA DE CAPITAL HUMANO,1007,,TALEN REVIEW GERENCIAS ( PLAN DE DESARROLLO  ),NA , , ,,0,,30,5,16.7 %
2026,1,101,14,JEFATURA DE COMPRAS,1005,,GPTW,NA , , ,,0,,77,60.4,78.4 %
2026,1,101,5,JEFATURA DE COMPRAS,1105,20,PIEZAS PLANEADAS VS PIEZAS PROGRAMADAS,93 % ,80 % ,93 % ,18.6,3,Mayor al 80 %,77,60.4,78.4 %
2026,1,101,8,JEFATURA DE COMPRAS,2005,5,CUENTAS POR PAGAR,32.3 dias ,40 dias ,80.7 % ,5,2,Menor al 130 %,77,60.4,78.4 %
2026,1,101,6,JEFATURA DE COMPRAS,1106,5,CIERRE DE INVENTARIO DEL ALMACÉN DE PIELES,4 días hab. ,3 días hab. ,0 % ,0,4,,77,60.4,78.4 %
2026,1,101,3,JEFATURA DE COMPRAS,1103,7,PARES PROGRAMADOS VS PARES NO SURTIDOS DE BOTAS,100 % ,99 % ,100 % ,7,1,99 %  -  100 %<BR>97 %  -  90 %<BR>95 %  -  80 %,77,60.4,78.4 %
2026,1,101,2,JEFATURA DE COMPRAS,1102,5,PRESUPUESTO DEL INVENTARIO DEL ALMACÉN DE MATERIA PRIMA,"$ 27,540,311 ","$ 22,637,387 ",121.7 % ,0,4,Menor al 110 %,77,60.4,78.4 %
2026,1,101,1,JEFATURA DE COMPRAS,1101,20,PRESUPUESTO DEL INVENTARIO DEL ALMACÉN DE PIELES,"$ 83,412,447 ","$ 92,123,923 ",90.5 % ,20,2,Menor al 110 %,77,60.4,78.4 %
2026,1,101,13,JEFATURA DE COMPRAS,103 d,5,ROTACIÓN DE PERSONAL DE ÁREAS OPERATIVAS,5.6 % ,3 % ,0 % ,0,4,3 %  -  100 %<BR>3.5 %  -  90 %<BR>4 %  -  80 %,77,60.4,78.4 %
2026,1,101,12,JEFATURA DE COMPRAS,102 f,5,"AUDITORIA DE 5'S EN EL ÁREA DE COMPRAS",96.3 % ,100 % ,96.3 % ,4.8,3,Resultado Logrado,77,60.4,78.4 %
2026,1,101,9,JEFATURA DE COMPRAS,101 a,,AUDITORIAS INTERNAS DE COMPRAS,NA , , ,,0,,77,60.4,78.4 %
2026,1,101,7,JEFATURA DE COMPRAS,1107,5,CIERRE DE INVENTARIO DEL ALMACÉN DE MATERIA PRIMA,3 días hab. ,3 días hab. ,100 % ,5,2,,77,60.4,78.4 %
2026,1,304,13,JEFATURA DE DESARROLLO BOTAS,102 o,5,"AUDITORIA DE 5'S EN EL ÁREA DE DESARROLLO BOTAS",71 % ,100 % ,71 % ,3.5,3,Resultado Logrado,39,25.9,66.4 %
2026,1,304,9,JEFATURA DE DESARROLLO BOTAS,3409,4,"CUMPLIMIENTO EN LOS AVANCES DE WIP EN SISTEMA, <BR> 12 DÍAS EN BOTAS PROTOTIPOS, MUESTRAS Y LOTES PILOTO",60.2 % ,100 % ,60.2 % ,2.4,3,Resultado Logrado,39,25.9,66.4 %
2026,1,304,15,JEFATURA DE DESARROLLO BOTAS,1005,,GPTW,NA , , ,,0,,39,25.9,66.4 %
2026,1,304,7,JEFATURA DE DESARROLLO BOTAS,3407,4,EFECTIVIDAD EN EL PAQUETE TÉCNICO <BR> Y ENTREGABLES EN LA LIBERACIÓN DEL MODELO A PRODUCCIÓN,100 % ,100 % ,100 % ,4,1,Resultado Logrado,39,25.9,66.4 %
2026,1,304,5,JEFATURA DE DESARROLLO BOTAS,3405,,CUMPLIMIENTO DE ENTREGABLES <BR> EN LA ETAPA DE MUESTRAS A INGENIERIA DE COSTOS Y SISTEMAS,NA , , ,,0,,39,25.9,66.4 %
2026,1,304,3,JEFATURA DE DESARROLLO BOTAS,3403,,CUMPLIMIENTO EN EL CALENDARIO DE LIBERACIONES <BR> VS CALENDARIO ESTABLECIDO BOTAS ( RESULTADO SEMESTRAL ),NA , , ,,0,,39,25.9,66.4 %
2026,1,304,12,JEFATURA DE DESARROLLO BOTAS,101 dd,,AUDITORIAS INTERNAS DE DESARROLLO BOTAS,NA , , ,,0,,39,25.9,66.4 %
2026,1,304,8,JEFATURA DE DESARROLLO BOTAS,3408,,CUMPLIMIENTO DE ENTREGAS DE PAQUETES TÉCNICOS CONFORME A CALENDARIO DE ENTREGA DE BETA 7,NA , , ,,0,,39,25.9,66.4 %
2026,1,304,14,JEFATURA DE DESARROLLO BOTAS,103 d,5,ROTACIÓN DE PERSONAL DE ÁREAS OPERATIVAS,5.6 % ,3 % ,0 % ,0,4,3 %  -  100 %<BR>3.5 %  -  90 %<BR>4 %  -  80 %,39,25.9,66.4 %
2026,1,304,11,JEFATURA DE DESARROLLO BOTAS,3411,8,PORCENTAJE DE REPROCESOS EN MUESTRAS Y LOTES PILOTO DE BOTAS,37.3 % ,100 % ,37.3 % ,3,3,Resultado Logrado,39,25.9,66.4 %
2026,1,304,10,JEFATURA DE DESARROLLO BOTAS,3410,4,CUMPLIMIENTO DE ENTREGA DE PRECOSTEO BOTAS,100 % ,100 % ,100 % ,4,1,Resultado Logrado,39,25.9,66.4 %
2026,1,304,4,JEFATURA DE DESARROLLO BOTAS,3404,9,CUMPLIMIENTO DE ANÁLISIS DE  VIABILIDAD Y FACTIBILIDAD,100 % ,100 % ,100 % ,9,1,Resultado Logrado,39,25.9,66.4 %
2026,1,304,2,JEFATURA DE DESARROLLO BOTAS,3402,,CUMPLIMIENTO EN EL CALENDARIO DE AMEF <BR> VS CALENDARIO ESTABLECIDO,NA , , ,,0,,39,25.9,66.4 %
2026,1,304,6,JEFATURA DE DESARROLLO BOTAS,3406,,ENTREGA DE MUESTRAS VS CALENDARIO ESTABLECIDO BOTAS,NA , , ,,0,,39,25.9,66.4 %
2026,1,304,1,JEFATURA DE DESARROLLO BOTAS,3401,,ENTREGA DE PROTOTIPOS VS CALENDARIO BOTAS,NA , , ,,0,,39,25.9,66.4 %
2026,1,308,6,JEFATURA DE MANTENIMIENTO,3806,5,CONTROLAR Y ADMINISTRAR INVENTARIOS DE REFACCIONES,0 items ,5 item ,100 % ,5,2,,85,75.1,88.4 %
2026,1,308,1,JEFATURA DE MANTENIMIENTO,3801,20,CUMPLIMIENTO  DEL PLAN DE <BR> MANTENIMIENTO PREVENTIVO VS CALENDARIO,97 % ,100 % ,97 % ,19.4,3,Resultado Logrado,85,75.1,88.4 %
2026,1,308,8,JEFATURA DE MANTENIMIENTO,101 dh,,AUDITORIAS INTERNAS DE MANTENIMIENTO,NA , , ,,0,,85,75.1,88.4 %
2026,1,308,7,JEFATURA DE MANTENIMIENTO,3807,5,COMPARATIVO DEL GASTO REAL CONTRA LO PLANEADO,-22 % ,5 % ,100 % ,5,2,,85,75.1,88.4 %
2026,1,308,9,JEFATURA DE MANTENIMIENTO,102 s,5,"AUDITORIA DE 5'S EN EL ÁREA DE MANTENIMIENTO",71.3 % ,100 % ,71.3 % ,3.6,3,Resultado Logrado,85,75.1,88.4 %
2026,1,308,10,JEFATURA DE MANTENIMIENTO,103 d,5,ROTACIÓN DE PERSONAL DE ÁREAS OPERATIVAS,5.6 % ,3 % ,0 % ,0,4,3 %  -  100 %<BR>3.5 %  -  90 %<BR>4 %  -  80 %,85,75.1,88.4 %
2026,1,308,4,JEFATURA DE MANTENIMIENTO,3804,10,MANTENIMIENTO AUTÓNOMO,90 % ,100 % ,90 % ,9,3,Resultado Logrado,85,75.1,88.4 %
2026,1,308,3,JEFATURA DE MANTENIMIENTO,3803,15,MANTENIMIENTO PREDICTIVO,90 % ,100 % ,90 % ,13.5,3,Resultado Logrado,85,75.1,88.4 %
2026,1,308,5,JEFATURA DE MANTENIMIENTO,3805,5,CONTROLAR Y ADMINISTRAR INVENTARIOS DE MAQUINARIA,0 maquinas ,0 maquinas ,100 % ,5,2,,85,75.1,88.4 %
2026,1,308,2,JEFATURA DE MANTENIMIENTO,3802,15,ADMINISTRAR EL MANTENIMIENTO CORRECTIVO,97.3 % ,100 % ,97.3 % ,14.6,3,Resultado Logrado,85,75.1,88.4 %
2026,1,308,11,JEFATURA DE MANTENIMIENTO,1005,,GPTW,NA , , ,,0,,85,75.1,88.4 %
2026,1,303,28,JEFATURA DE PRODUCCIÓN ACCESORIOS,102 n,5,"AUDITORIA DE 5'S EN EL ÁREA DE ACCESORIOS",96.4 % ,100 % ,96.4 % ,4.8,3,Resultado Logrado,85,79.1,93.1 %
2026,1,303,1,JEFATURA DE PRODUCCIÓN ACCESORIOS,3002,5.5,PRODUCTIVIDAD DE CINTOS,"13,087 pzs ","14,400 pzs ",90.9 % ,5,3,Mayor al 70 %,85,79.1,93.1 %
